episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,3.0,821,0.29940247535705566,,,
2,5.0,680,0.24380874633789062,,,
3,5.0,587,0.2108924388885498,,,
4,9.0,777,0.27703046798706055,,,
5,1.0,603,0.22319841384887695,,,
6,8.0,635,0.22823739051818848,,,
7,4.0,671,0.2423696517944336,,,
8,5.0,677,0.24455022811889648,,,
9,5.0,721,0.26006412506103516,,,
10,12.0,651,0.2339186668395996,,,
11,8.0,667,0.24054884910583496,,,
12,12.0,921,0.32923436164855957,,,
13,2.0,410,0.14861488342285156,,,
14,8.0,689,0.246107816696167,,,
15,13.0,919,0.34111976623535156,,,
16,4.0,729,0.2602071762084961,,,
17,2.0,398,0.14356040954589844,,,
18,5.0,650,0.2347574234008789,,,
19,7.0,677,0.24334144592285156,,,
20,12.0,1338,0.47179555892944336,,,
21,12.0,647,0.23140549659729004,,,
22,8.0,1005,0.35658931732177734,,,
23,1.0,437,0.15777349472045898,,,
24,6.0,639,0.23337817192077637,,,
25,13.0,862,0.30981016159057617,,,
26,4.0,483,0.174285888671875,,,
27,7.0,765,0.2745051383972168,,,
28,5.0,590,0.21041059494018555,,,
29,9.0,891,0.31790661811828613,,,
30,0.0,595,0.2144637107849121,,,
31,4.0,533,0.19115328788757324,,,
32,18.0,1055,0.37251830101013184,,,
33,9.0,614,0.2213900089263916,,,
34,12.0,851,0.3036203384399414,,,
35,3.0,703,0.25383639335632324,,,
36,5.0,641,0.23291754722595215,,,
37,5.0,693,0.24889779090881348,,,
38,5.0,730,0.26116299629211426,,,
39,3.0,760,0.27286672592163086,,,
40,3.0,577,0.2088451385498047,,,
41,8.0,628,0.2247326374053955,,,
42,2.0,626,0.2255260944366455,,,
43,5.0,661,0.2372276782989502,,,
44,8.0,813,0.28971362113952637,,,
45,2.0,428,0.15440797805786133,,,
46,9.0,659,0.23546433448791504,,,
47,5.0,713,0.2556478977203369,,,
48,9.0,901,0.3196370601654053,,,
49,4.0,495,0.17797446250915527,,,
50,5.0,622,0.22339558601379395,,,
51,1.0,388,0.1412816047668457,,,
