algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,2297,49,87,0.0030035972595214844,True
BFS,1,6940,85,199,0.035024404525756836,True
BFS,2,4626,71,84,0.007320404052734375,True
BFS,3,3708,49,74,0.002997875213623047,True
BFS,4,1010,24,51,0.002111196517944336,True
BFS,5,1469,27,97,0.001998424530029297,True
BFS,6,6352,79,115,0.00670170783996582,True
BFS,7,7692,90,228,0.007867574691772461,True
BFS,8,4916,81,159,0.0046083927154541016,True
BFS,9,6063,98,258,0.005620479583740234,True
BFS,10,8252,106,253,0.008627176284790039,True
BFS,11,3867,76,115,0.0036067962646484375,True
BFS,12,3580,45,135,0.0035142898559570312,True
BFS,13,7661,95,339,0.008505821228027344,True
BFS,14,3440,43,127,0.0040013790130615234,True
BFS,15,1961,32,66,0.002013683319091797,True
BFS,16,2139,33,123,0.0035185813903808594,True
BFS,17,1956,45,49,0.0019822120666503906,True
BFS,18,7314,96,264,0.006548643112182617,True
BFS,19,4551,53,197,0.005438804626464844,True
BFS,20,3024,49,99,0.0020008087158203125,True
BFS,21,3413,49,133,0.004008293151855469,True
BFS,22,4326,63,93,0.003025054931640625,True
BFS,23,9108,135,309,0.012574911117553711,True
BFS,24,6174,95,260,0.005514383316040039,True
BFS,25,5181,82,288,0.0050008296966552734,True
BFS,26,1776,43,149,0.0018818378448486328,True
BFS,27,3867,71,84,0.003513336181640625,True
BFS,28,963,29,103,0.002007722854614258,True
BFS,29,6863,82,158,0.03155183792114258,True
DFS,0,0,0,0,0.006106138229370117,False
DFS,1,0,0,0,0.010605335235595703,False
DFS,2,0,0,0,0.004524946212768555,False
DFS,3,0,0,0,0.034246206283569336,False
DFS,4,0,0,0,0.008226633071899414,False
DFS,5,0,0,0,0.010259389877319336,False
DFS,6,0,0,0,0.006834745407104492,False
DFS,7,0,0,0,0.02313065528869629,False
DFS,8,0,0,0,0.004001140594482422,False
DFS,9,0,0,0,0.03371763229370117,False
DFS,10,0,0,0,0.0048100948333740234,False
DFS,11,0,0,0,0.0078105926513671875,False
DFS,12,9166,805,2271,0.032311439514160156,True
DFS,13,0,0,0,0.007612943649291992,False
DFS,14,0,0,0,0.008886337280273438,False
DFS,15,0,0,0,0.006602287292480469,False
DFS,16,0,0,0,0.004102945327758789,False
DFS,17,0,0,0,0.006711721420288086,False
DFS,18,9041,522,1458,0.008150577545166016,True
DFS,19,0,0,0,0.002999544143676758,False
DFS,20,9095,571,1567,0.010090112686157227,True
DFS,21,0,0,0,0.00889444351196289,False
DFS,22,0,0,0,0.0325775146484375,False
DFS,23,0,0,0,0.009416341781616211,False
DFS,24,0,0,0,0.008528709411621094,False
DFS,25,0,0,0,0.003545999526977539,False
DFS,26,0,0,0,0.009514808654785156,False
DFS,27,0,0,0,0.006668567657470703,False
DFS,28,0,0,0,0.006999492645263672,False
DFS,29,0,0,0,0.007543802261352539,False
DFSL,0,0,0,0,0.0010142326354980469,False
DFSL,1,0,0,0,0.0,False
DFSL,2,0,0,0,0.0,False
DFSL,3,0,0,0,0.0,False
DFSL,4,0,0,0,0.0,False
DFSL,5,0,0,0,0.0,False
DFSL,6,0,0,0,0.0009281635284423828,False
DFSL,7,0,0,0,0.0,False
DFSL,8,0,0,0,0.0,False
DFSL,9,0,0,0,0.0,False
DFSL,10,0,0,0,0.0,False
DFSL,11,0,0,0,0.0009214878082275391,False
DFSL,12,0,0,0,0.0,False
DFSL,13,0,0,0,0.0,False
DFSL,14,0,0,0,0.0,False
DFSL,15,0,0,0,0.0,False
DFSL,16,0,0,0,0.0,False
DFSL,17,0,0,0,0.0,False
DFSL,18,0,0,0,0.0,False
DFSL,19,0,0,0,0.0,False
DFSL,20,0,0,0,0.0,False
DFSL,21,0,0,0,0.0010094642639160156,False
DFSL,22,0,0,0,0.0,False
DFSL,23,0,0,0,0.0009927749633789062,False
DFSL,24,0,0,0,0.0,False
DFSL,25,0,0,0,0.0,False
DFSL,26,0,0,0,0.0,False
DFSL,27,0,0,0,0.0,False
DFSL,28,0,0,0,0.0010099411010742188,False
DFSL,29,0,0,0,0.0,False
UCS,0,2344,49,87,0.0026693344116210938,True
UCS,1,6991,85,199,0.009717464447021484,True
UCS,2,4628,71,84,0.006593465805053711,True
UCS,3,3766,49,74,0.007520914077758789,True
UCS,4,1020,24,51,0.0019023418426513672,True
UCS,5,1400,27,97,0.0010051727294921875,True
UCS,6,6415,79,115,0.008502960205078125,True
UCS,7,7727,90,228,0.008726835250854492,True
UCS,8,4969,81,159,0.006407022476196289,True
UCS,9,6072,98,258,0.007978677749633789,True
UCS,10,8260,106,253,0.013089656829833984,True
UCS,11,3883,76,115,0.003717184066772461,True
UCS,12,3522,45,135,0.00543212890625,True
UCS,13,7664,95,339,0.010513067245483398,True
UCS,14,3421,43,127,0.004715919494628906,True
UCS,15,2018,32,66,0.001990795135498047,True
UCS,16,2044,33,123,0.005841493606567383,True
UCS,17,2005,45,49,0.0034182071685791016,True
UCS,18,7272,96,264,0.008833646774291992,True
UCS,19,4476,53,197,0.03425002098083496,True
UCS,20,3029,49,99,0.004567146301269531,True
UCS,21,3404,49,133,0.005524873733520508,True
UCS,22,4318,63,93,0.006959199905395508,True
UCS,23,9111,135,309,0.01541900634765625,True
