Algorithm Name,Solution,Env Size,Objective Function,Iterations,Time
hill_climbing,"[0, 2, 3, 1]",4,1,3,0.0
hill_climbing,"[1, 3, 0, 2]",4,0,3,0.0
hill_climbing,"[0, 3, 1, 2]",4,1,3,0.0
hill_climbing,"[0, 3, 3, 0]",4,2,1,0.0
hill_climbing,"[1, 3, 2, 0]",4,1,3,0.0
hill_climbing,"[2, 0, 3, 1]",4,0,2,0.0
hill_climbing,"[2, 1, 3, 0]",4,1,3,0.0
hill_climbing,"[0, 2, 3, 1]",4,1,3,0.0
hill_climbing,"[1, 3, 2, 0]",4,1,2,0.0
hill_climbing,"[3, 1, 0, 2]",4,1,3,0.0
hill_climbing,"[1, 3, 0, 2]",4,0,1,0.0
hill_climbing,"[3, 1, 0, 2]",4,1,2,0.0009641647338867188
hill_climbing,"[3, 1, 0, 2]",4,1,2,0.0
hill_climbing,"[2, 0, 3, 1]",4,0,2,0.0
hill_climbing,"[2, 1, 3, 0]",4,1,3,0.0
hill_climbing,"[2, 0, 3, 1]",4,0,2,0.0
hill_climbing,"[1, 3, 2, 0]",4,1,2,0.0
hill_climbing,"[2, 1, 3, 0]",4,1,2,0.0
hill_climbing,"[1, 2, 0, 3]",4,1,1,0.0
hill_climbing,"[1, 3, 2, 0]",4,1,3,0.0
hill_climbing,"[2, 0, 1, 3]",4,1,3,0.0
hill_climbing,"[0, 3, 3, 0]",4,2,2,0.0
hill_climbing,"[1, 2, 0, 3]",4,1,2,0.0
hill_climbing,"[1, 3, 0, 2]",4,0,3,0.0
hill_climbing,"[2, 0, 1, 3]",4,1,2,0.0
hill_climbing,"[1, 3, 0, 2]",4,0,2,0.0
hill_climbing,"[3, 0, 2, 1]",4,1,2,0.0
hill_climbing,"[2, 1, 3, 0]",4,1,3,0.0
hill_climbing,"[2, 1, 3, 0]",4,1,2,0.0009984970092773438
hill_climbing,"[2, 0, 3, 1]",4,0,2,0.0
hill_climbing,"[3, 4, 0, 7, 5, 1, 6, 2]",8,2,4,0.001998424530029297
hill_climbing,"[4, 0, 3, 1, 6, 2, 0, 7]",8,2,4,0.0020580291748046875
hill_climbing,"[3, 6, 0, 5, 2, 1, 7, 4]",8,2,2,0.0010025501251220703
hill_climbing,"[1, 1, 6, 7, 3, 4, 0, 5]",8,3,2,0.0014030933380126953
hill_climbing,"[0, 4, 1, 6, 2, 3, 7, 0]",8,3,2,0.0009982585906982422
hill_climbing,"[1, 3, 0, 7, 4, 0, 5, 0]",8,2,4,0.0039958953857421875
hill_climbing,"[6, 2, 0, 5, 0, 4, 1, 7]",8,1,3,0.0010006427764892578
hill_climbing,"[1, 7, 5, 2, 6, 3, 0, 4]",8,1,4,0.0010020732879638672
