"id","inclinacion_peligrosa"
1,0.21
2,0.046
4,0.266
6,0.262
9,0.146
13,0.08
14,0.662
17,0.97
23,0.124
28,0.738
30,0.028
31,0.03
34,0.128
35,0.014
44,0.2
48,0.12
49,0.03
51,0.662
52,0.076
53,0.4
61,0.738
62,0.448
66,0.196
73,0.166
83,0.47
86,0.256
92,0.212
102,0.056
110,0.364
111,0.31
115,0.034
119,0.332
120,0.142
122,0.048
123,0.246
127,0.02
128,0.004
131,0
141,0.07
142,0.048
144,0.084
152,0.126
156,0.468
157,0.068
158,0.084
160,0.178
163,0
164,0
167,0.098
169,0.004
171,0.468
175,0.014
176,0.042
178,0.14
183,0.126
184,0.486
197,0.004
201,0.332
202,0.05
203,0.024
209,0.924
210,0.302
214,0.886
221,0.938
225,0.19
227,0.03
236,0.146
238,0.746
241,0.82
244,0.28
249,0.47
251,0.578
254,0
256,0.008
264,0.004
267,0.676
270,0.302
273,0.102
275,0.306
276,0.304
279,0.596
280,0.02
285,0.962
286,0.896
287,0.98
289,0.746
290,0.84
300,0.316
301,0.02
302,0.102
303,0.308
304,0.146
307,0.114
312,0.114
315,0.362
319,0.676
323,0.086
328,0.03
336,0.644
343,0.302
345,0.338
346,0.124
350,0.304
356,0.58
363,0
365,0.402
368,0.41
370,0.302
371,0.976
373,0.176
374,0.018
375,0.622
376,0.746
377,0.534
379,0.89
380,0.982
381,0.302
385,0.962
388,0.942
399,0.746
404,0.746
409,0.034
411,0.534
417,0.098
420,0.018
421,0.304
436,0.14
441,0.676
442,0.382
450,0.224
455,0.282
456,0.838
461,0.746
462,0.388
464,0.004
467,0.716
475,0.942
478,0.012
484,0.22
485,0
493,0.676
499,0.034
504,0.224
505,0.962
509,0.004
510,0.338
517,0.16
521,0.302
522,0.924
528,0.018
534,0.44
538,0
539,0.224
542,0.082
545,0.014
547,0.056
548,0.01
550,0.028
563,0.936
569,0.716
573,0.84
574,0.36
576,0.71
577,0.116
579,0.004
580,0.788
582,0.972
585,0.746
586,0.71
590,0.468
594,0.962
604,0.71
606,0.108
