"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
567,"Caducifolio","08/03/2012 11:17","Medio (4 - 8 mts)",50,"Mediano",-68.8192499783,-32.8686803414,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
2878,"lamo blanco","09/09/2011 08:57","Alto (> 8 mts)",155,"Grande",-68.8306972797,-32.8708964327,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
38117,"Paraiso","03/12/2010 11:28","Alto (> 8 mts)",160,"Grande",-68.8463787856,-32.8729234557,6,"Residencial Norte",2694682.37982,0,"muy alto"
7739,"Morera","18/05/2011 08:52","Alto (> 8 mts)",160,"Grande",-68.8520213915,-32.8864501812,5,"Residencial Sur",2423808.92355,0,"muy alto"
19340,"Fresno europeo","19/07/2011 11:07","Alto (> 8 mts)",95,"Grande",-68.8361916138,-32.8705287055,4,"Cuarta Oeste",1173332.70145,0,"medio"
39664,"Morera","22/10/2010 09:26","Alto (> 8 mts)",180,"Grande",-68.8471982333,-32.8686891108,6,"Residencial Norte",2694682.37982,0,"muy alto"
34440,"Morera","09/03/2011 12:43","Alto (> 8 mts)",132,"Grande",-68.8502033429,-32.8740088646,6,"Residencial Norte",2694682.37982,0,"alto"
13183,"Tilo","21/02/2011 10:49","Muy bajo (1 - 2 mts)",14,"Chico",-68.8469996101,-32.8657855954,4,"Cuarta Oeste",1173332.70145,0,"bajo"
38979,"Morera","28/12/2010 13:28","Alto (> 8 mts)",200,"Grande",-68.8554950886,-32.8712773548,6,"Residencial Norte",2694682.37982,0,"muy alto"
22842,"Paraiso","10/05/2011 11:20","Medio (4 - 8 mts)",38,"Mediano",-68.8565802305,-32.9005411529,5,"Residencial Sur",2423808.92355,0,"bajo"
31278,"Morera","03/02/2011 12:03","Bajo (2 - 4 mts)",34,"Mediano",-68.8529465236,-32.864891571,6,"Residencial Norte",2694682.37982,0,"bajo"
32372,"Pltano","06/05/2011 09:41","Alto (> 8 mts)",140,"Grande",-68.8525253686,-32.8916456115,5,"Residencial Sur",2423808.92355,0,"alto"
8158,"Morera","03/03/2011 09:52","Alto (> 8 mts)",60,"Mediano",-68.8453950879,-32.8907688061,2,"Barrio Civico",2366816.36021,1,"medio"
811,"Aguaribay","16/12/2011 11:37","Bajo (2 - 4 mts)",22,"Mediano",-68.8825801518,-32.8666943026,8,"Aeroparque",2203364.73622,0,"bajo"
45028,"Morera","29/08/2011 09:25","Alto (> 8 mts)",120,"Grande",-68.8253906825,-32.8701097103,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
21207,"Acer","10/05/2011 11:00","Alto (> 8 mts)",120,"Grande",-68.851757026,-32.8955570165,5,"Residencial Sur",2423808.92355,0,"alto"
16569,"Morera","27/07/2011 09:09","Medio (4 - 8 mts)",200,"Grande",-68.8414888316,-32.8660569029,4,"Cuarta Oeste",1173332.70145,1,"muy alto"
47345,"Pltano","21/09/2011 10:34","Alto (> 8 mts)",180,"Grande",-68.8320644133,-32.8745708464,4,"Cuarta Este Área Fundacional",1822015.85685,0,"muy alto"
22143,"Morera","13/05/2011 13:49","Alto (> 8 mts)",88,"Grande",-68.8555392514,-32.8984327483,5,"Residencial Sur",2423808.92355,0,"medio"
8936,"Morera","24/01/2011 14:20","Alto (> 8 mts)",115,"Grande",-68.8489114645,-32.8675037156,6,"Residencial Norte",2694682.37982,0,"alto"
25429,"Morera","11/02/2011 10:16","Alto (> 8 mts)",230,"Grande",-68.8361153524,-32.8997750786,2,"Barrio Civico",2366816.36021,0,"muy alto"
48014,"Fresno europeo","29/08/2011 08:44","Bajo (2 - 4 mts)",45,"Mediano",-68.8272316394,-32.8689239281,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
